"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
168,"Aquaman",7,2018,143,"Action",335569,335.06,"James Wan","Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson","Arthur Curry (Jason Momoa), the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
169,"Coco 1",8.4,2017,105,"Animation",335411,209.73,"Lee Unkrich","Anthony Gonzalez, Gael Garc¨ªa Bernal, Benjamin Bratt, Alanna Ubach","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
170,"22 Jump Street",7,2014,112,"Action",334618,191.72,"Phil Lord","Channing Tatum, Jonah Hill, Ice Cube, Nick Offerman","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
171,"Passengers 1",7,2016,116,"Drama",332896,100.01,"Morten Tyldum","Jennifer Lawrence, Chris Pratt, Michael Sheen, Laurence Fishburne","A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."
172,"The Fault in Our Stars",7.7,2014,126,"Drama",331189,124.87,"Josh Boone","Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern","Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam."
173,"Maleficent",7,2014,97,"Action",330848,241.41,"Robert Stromberg","Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville","A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land."
174,"Super 8",7,2011,112,"Mystery",330641,127,"J.J. Abrams","Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
175,"Venom",6.7,2018,112,"Action",330270,213.52,"Ruben Fleischer","Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
176,"Friends with Benefits",6.5,2011,109,"Comedy",329849,55.8,"Will Gluck","Mila Kunis, Justin Timberlake, Patricia Clarkson, Jenna Elfman","A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications."
177,"The Fighter 1",7.8,2010,116,"Biography",329441,93.62,"David O. Russell","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
178,"Mission: Impossible - Rogue Nation",7.4,2015,131,"Action",328877,195.04,"Christopher McQuarrie","Tom Cruise, Rebecca Ferguson, Jeremy Renner, Simon Pegg","Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF."
179,"Boyhood 1",7.9,2014,165,"Drama",326829,25.38,"Richard Linklater","Ellar Coltrane, Patricia Arquette, Ethan Hawke, Elijah Smith","The life of Mason, from early childhood to his arrival at college."
180,"Men in Black 3",6.8,2012,106,"Action",325649,179.02,"Barry Sonnenfeld","Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement","Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history."
181,"The Equalizer",7.2,2014,132,"Action",319049,101.53,"Antoine Fuqua","Denzel Washington, Marton Csokas, Chlo<U+00EB> Grace Moretz, David Harbour","A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life, before he meets a young girl under the control of ultra-violent Russian gangsters and can't stand idly by."
182,"The Expendables",6.5,2010,103,"Action",317867,103.07,"Sylvester Stallone","Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren","A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent."
183,"Green Book",8.2,2018,130,"Biography",317838,85.08,"Peter Farrelly","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South."
184,"The Lego Movie",7.7,2014,100,"Animation",316000,257.76,"Christopher Miller","Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
185,"Flight 1",7.3,2012,138,"Drama",315299,93.77,"Robert Zemeckis","Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling."
186,"Due Date",6.5,2010,95,"Comedy",314960,100.54,"Todd Phillips","Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx","High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time."
187,"Spider-Man: Into the Spider-Verse",8.4,2018,117,"Animation",314067,190.24,"Bob Persichetti","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities."
188,"Star Wars: Episode IX - The Rise of Skywalker",6.7,2019,142,"Action",310400,515.2,"J.J. Abrams","Daisy Ridley, John Boyega, Oscar Isaac, Adam Driver","The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end."
189,"50/50",7.6,2011,100,"Comedy",309075,35.01,"Jonathan Levine","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
190,"Monsters University",7.3,2013,104,"Animation",309028,268.49,"Dan Scanlon","Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren","A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
191,"A Star Is Born",7.7,2018,136,"Drama",306604,215.29,"Bradley Cooper","Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg","A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral."
192,"Moonrise Kingdom",7.8,2012,94,"Comedy",306073,45.51,"Wes Anderson","Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
193,"TRON: Legacy",6.8,2010,125,"Action",305918,172.06,"Joseph Kosinski","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner","The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world."
194,"Jumanji: Welcome to the Jungle",6.9,2017,119,"Action",298981,404.52,"Jake Kasdan","Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black","Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
