"rank","title","rating","year","runTime","genre","votes","gross","director","stars","description"
434,"The Girl on the Train",6.5,2016,112,"Crime",161744,35.4,"Tate Taylor","Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux","A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life."
435,"Ad Astra",6.6,2019,123,"Adventure",161533,103.14,"James Gray","Brad Pitt, Tommy Lee Jones, Ruth Negga, Donald Sutherland","Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
436,"Independence Day: Resurgence",5.2,2016,120,"Action",161410,3.03,"Roland Emmerich","Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe","Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?"
437,"Melancholia",7.2,2011,135,"Drama",161307,37.24,"Lars von Trier","Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland, Alexander Skarsg<U+00E5>rd","Two sisters find their already strained relationship challenged as a mysterious new planet threatens to collide with Earth."
438,"El Camino: A Breaking Bad Movie",7.4,2019,122,"Action",161225,0.22,"Vince Gilligan","Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker","El Camino: A Breaking Bad Movie follows fugitive Jesse Pinkman as he runs from his captors, the law and his past."
439,"The Change-Up",6.3,2011,112,"Comedy",160838,43.58,"David Dobkin","Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann","Dave is a married man with three kids and a loving wife, and Mitch is a single man who is at the prime of his sexual life. One fateful night while Mitch and Dave are peeing in a fountain, lightning strikes and they switch bodies."
440,"Bright 1",6.3,2017,117,"Action",160716,56.47,"David Ayer","Will Smith, Joel Edgerton, Noomi Rapace, Edgar Ram¨ªrez","A detective must work with an Orc to find a powerful wand before evil creatures do."
441,"Tucker and Dale vs Evil",7.5,2010,89,"Comedy",160016,159.58,"Eli Craig","Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss","Affable hillbillies Tucker and Dale are on vacation at their dilapidated mountain cabin when they are mistaken for murderers by a group of preppy college students."
442,"Need for Speed",6.5,2014,132,"Action",159418,50.29,"Scott Waugh","Aaron Paul, Dominic Cooper, Imogen Poots, Kid Cudi","Fresh from prison, a street racer who was framed by a wealthy business associate joins a cross-country race with revenge in mind. His ex-partner, learning of the plan, places a massive bounty on his head as the race begins."
443,"Darkest Hour",7.4,2017,125,"Biography",158672,60.13,"Joe Wright","Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn","In May 1940, the fate of World War II hangs on Winston Churchill, who must decide whether to negotiate with Adolf Hitler, or fight on knowing that it could mean the end of the British Empire."
444,"The Heat 1",6.6,2013,117,"Action",158434,126.64,"Paul Feig","Sandra Bullock, Michael McDonald, Melissa McCarthy, Demi¨¢n Bichir","An uptight FBI Special Agent is paired with a foul-mouthed Boston cop to take down a ruthless drug lord."
445,"Hot Tub Time Machine",6.4,2010,101,"Comedy",158306,83.5,"Steve Pink","John Cusack, Rob Corddry, Craig Robinson, Clark Duke","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
446,"Resident Evil: Afterlife",5.8,2010,96,"Action",158276,11.11,"Paul W.S. Anderson","Milla Jovovich, Ali Larter, Wentworth Miller, Kim Coates","While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia."
447,"The Legend of Tarzan",6.2,2016,110,"Action",158132,5.88,"David Yates","Alexander Skarsg<U+00E5>rd, Rory J. Saper, Christian Stevens, Christoph Waltz","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
448,"Uncut Gems",7.5,2019,135,"Crime",157970,32.17,"Benny Safdie","Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive."
449,"Immortals",6,2011,110,"Action",157388,76.42,"Tarsem Singh","Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
450,"The Danish Girl",7.1,2015,119,"Biography",156584,32.37,"Tom Hooper","Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw","A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer."
451,"Enemy",6.9,2013,91,"Drama",156433,1.01,"Denis Villeneuve","Jake Gyllenhaal, M¨¦lanie Laurent, Sarah Gadon, Isabella Rossellini","A man seeks out his exact look-alike after spotting him in a movie."
452,"The Favourite",7.6,2018,119,"Biography",156251,34.37,"Yorgos Lanthimos","Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult","In early 18th century England, a frail Queen Anne occupies the throne and her close friend, Lady Sarah, governs the country in her stead. When a new servant, Abigail, arrives, her charm endears her to Sarah."
453,"Madagascar 3: Europe's Most Wanted",6.8,2012,93,"Animation",156124,216.39,"Eric Darnell","Ben Stiller, Jada Pinkett Smith, Chris Rock, David Schwimmer","The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer."
454,"Exodus: Gods and Kings",6,2014,150,"Action",155827,65.01,"Ridley Scott","Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver","The defiant leader Moses rises up against Egyptian Pharaoh Ramses II, setting six hundred thousand slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues."
455,"Red Sparrow",6.6,2018,140,"Action",154987,46.87,"Francis Lawrence","Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling","Ballerina Dominika Egorova is recruited to 'Sparrow School,' a Russian intelligence service where she is forced to use her body as a weapon. Her first mission, targeting a C.I.A. agent, threatens to unravel the security of both nations."
456,"RED 2",6.6,2013,116,"Action",154954,53.26,"Dean Parisot","Bruce Willis, Helen Mirren, John Malkovich, Anthony Hopkins","Retired C.I.A. Agent Frank Moses (Bruce Willis) reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device."
457,"The Karate Kid",6.2,2010,140,"Action",154465,176.59,"Harald Zwart","Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master."
458,"Valerian and the City of a Thousand Planets",6.5,2017,137,"Action",154071,41.19,"Luc Besson","Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe."
459,"The Ghost Writer",7.2,2010,128,"Drama",152783,15.54,"Roman Polanski","Ewan McGregor, Pierce Brosnan, Olivia Williams, Jon Bernthal","A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy."
460,"Cinderella 1",6.9,2015,105,"Drama",152674,201.15,"Kenneth Branagh","Lily James, Cate Blanchett, Richard Madden, Helena Bonham Carter","When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
461,"Baywatch",5.5,2017,116,"Action",152413,58.06,"Seth Gordon","Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
462,"The Green Hornet",5.8,2011,119,"Action",152412,98.78,"Michel Gondry","Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz","Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team."
463,"Horrible Bosses 2",6.3,2014,108,"Comedy",152397,54.45,"Sean Anders","Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston","Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme."
464,"Evil Dead",6.5,2013,91,"Fantasy",152067,54.24,"Fede Alvarez","Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci","Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
465,"PK",8.1,2014,153,"Comedy",152006,10.62,"Rajkumar Hirani","Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani","An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people."
466,"Rise of the Guardians",7.3,2012,97,"Animation",151546,103.41,"Peter Ramsey","Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine","When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
467,"Cars 2",6.1,2011,106,"Animation",151238,191.45,"John Lasseter","Owen Wilson, Larry the Cable Guy, Michael Caine, Emily Mortimer","Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage."
468,"Central Intelligence",6.3,2016,107,"Action",151124,127.44,"Rawson Marshall Thurber","Dwayne Johnson, Kevin Hart, Danielle Nicolet, Amy Ryan","After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
469,"First Man",7.3,2018,141,"Biography",151044,44.94,"Damien Chazelle","Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler","A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969."
470,"Inferno 1",6.2,2016,121,"Action",150276,34.34,"Ron Howard","Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster","When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
471,"Riddick",6.4,2013,119,"Action",150226,42.03,"David Twohy","Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Moll¨¤","Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past."
472,"Legend 1",6.9,2015,132,"Biography",149858,1.87,"Brian Helgeland","Tom Hardy, Emily Browning, Taron Egerton, Paul Anderson","Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s."
473,"Miss Peregrine's Home for Peculiar Children",6.7,2016,127,"Adventure",149375,87.24,"Tim Burton","Eva Green, Asa Butterfield, Samuel L. Jackson, Judi Dench","When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
474,"American Made",7.1,2017,115,"Action",149044,51.34,"Doug Liman","Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons","The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
475,"The Sorcerer's Apprentice",6.1,2010,109,"Action",149032,63.15,"Jon Turteltaub","Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer","Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la F¨¦e."
476,"Insidious: Chapter 2",6.6,2013,106,"Horror",148974,83.59,"James Wan","Patrick Wilson, Rose Byrne, Barbara Hershey, Lin Shaye","The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily."
477,"Date Night",6.3,2010,88,"Comedy",148830,98.71,"Shawn Levy","Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson","In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."
478,"Midsommar",7.1,2019,148,"Drama",147993,27.33,"Ari Aster","Florence Pugh, Jack Reynor, Vilhelm Blomgren, William Jackson Harper","A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult."
479,"Sin City: A Dame to Kill For",6.5,2014,102,"Action",147854,13.76,"Frank Miller","Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt","Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants."
480,"The Age of Adaline",7.2,2015,112,"Drama",147652,42.48,"Lee Toland Krieger","Blake Lively, Michiel Huisman, Harrison Ford, Kathy Baker","A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
481,"Fast & Furious Presents: Hobbs & Shaw",6.5,2019,137,"Action",147578,173.96,"David Leitch","Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby","Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
482,"Steve Jobs",7.2,2015,122,"Biography",147083,17.77,"Danny Boyle","Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
483,"Saving Mr. Banks",7.5,2013,125,"Biography",147028,83.3,"John Lee Hancock","Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell","Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
484,"The Mechanic",6.6,2011,93,"Action",146696,29.12,"Simon West","Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn","An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims."
485,"Abraham Lincoln: Vampire Hunter",5.9,2012,105,"Action",146334,37.52,"Timur Bekmambetov","Benjamin Walker, Rufus Sewell, Dominic Cooper, Anthony Mackie","Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them."
486,"Fantastic Four",4.3,2015,100,"Action",146012,56.12,"Josh Trank","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell","Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy."
487,"The Master",7.2,2012,138,"Drama",145604,16.38,"Paul Thomas Anderson","Philip Seymour Hoffman, Joaquin Phoenix, Amy Adams, Jesse Plemons","A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader."
488,"Buried",7,2010,95,"Drama",145115,1.03,"Rodrigo Cort¨¦s","Ryan Reynolds, Jos¨¦ Luis Garc¨ªa P¨¦rez, Robert Paterson, Stephen Tobolowsky","Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap."
489,"What We Do in the Shadows",7.7,2014,86,"Comedy",143802,3.33,"Jemaine Clement","Jemaine Clement, Taika Waititi, Cori Gonzalez-Macuer, Jonny Brugh","Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts."
490,"Deepwater Horizon",7.1,2016,107,"Action",143395,61.43,"Peter Berg","Mark Wahlberg, Kurt Russell, Douglas M. Griffin, James DuMont","A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."
491,"The Last Airbender",4.1,2010,103,"Action",143045,131.56,"M. Night Shyamalan","Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
492,"Underworld Awakening",6.4,2012,88,"Action",142535,62.32,"M<U+00E5>ns M<U+00E5>rlind","Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea","When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind."
493,"War Horse",7.2,2011,146,"Action",142212,79.88,"Steven Spielberg","Jeremy Irvine, Emily Watson, David Thewlis, Benedict Cumberbatch","Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on."
494,"Man on a Ledge",6.6,2012,102,"Action",141926,18.62,"Asger Leth","Sam Worthington, Elizabeth Banks, Jamie Bell, Mandy Gonzalez","As a police psychologist works to talk down an ex-con who is threatening to jump from a Manhattan hotel rooftop, the biggest diamond heist ever committed is in motion."
495,"Hercules 1",6,2014,98,"Action",141879,72.69,"Brett Ratner","Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes","Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
496,"47 Ronin",6.3,2013,128,"Action",141690,38.36,"Carl Rinsch","Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun."
497,"Dangal",8.4,2016,161,"Action",140934,12.39,"Nitesh Tiwari","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
498,"Jumanji: The Next Level",6.7,2019,123,"Action",140109,316.83,"Jake Kasdan","Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan","In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game."
499,"The Spectacular Now",7.1,2013,95,"Comedy",139994,6.85,"James Ponsoldt","Miles Teller, Shailene Woodley, Kyle Chandler, Jennifer Jason Leigh","A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl."""
500,"Puss in Boots",6.6,2011,90,"Animation",139579,149.26,"Chris Miller","Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton","An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town."
